month,trades,days,win_pct,AvgR,PF,maxDD_R,max_loss_streak,totalR,max_trades_day,best_asset_side,best_model,best_window
2025-08,13.0,13.0,92.3076923076923,1.8269230769230769,24.75,-1.0,1.0,23.75,1.0,NQ BUY 12.75R,REVERSAL BUY 9.75R,10:15-11:00_RECHECK 17.00R
2025-09,17.0,17.0,64.70588235294117,1.372737556561086,4.889423076923077,-2.0,2.0,23.33653846153846,1.0,NQ BUY 9.59R,REVERSAL BUY 12.75R,09:30-09:45_OPEN_PRESELECTED_CONFIRMATION 12.75R
2025-10,18.0,18.0,55.55555555555556,1.0972222222222223,3.46875,-4.0,4.0,19.75,1.0,ES SELL 6.00R,CONTINUATION SELL 8.00R,09:45-10:15_PRIMARY 18.75R
2025-11,11.0,11.0,45.45454545454545,0.4318181818181818,1.7916666666666667,-2.25,2.0,4.75,1.0,NQ SELL 6.00R,CONTINUATION SELL 4.00R,09:45-10:15_PRIMARY 5.00R
2025-12,16.0,16.0,50.0,1.0,3.0,-4.0,4.0,16.0,1.0,YM BUY 6.00R,CONTINUATION BUY 6.00R,10:15-11:00_RECHECK 11.00R
2026-01,18.0,18.0,61.111111111111114,1.3194444444444444,4.392857142857143,-2.0,2.0,23.75,1.0,NQ BUY 13.00R,REVERSAL BUY 14.00R,09:30-09:45_OPEN_PRESELECTED_CONFIRMATION 11.00R
2026-02,15.0,15.0,33.33333333333333,0.3333333333333333,1.5,-3.0,3.0,5.0,1.0,ES SELL 2.00R,CONTINUATION SELL 5.00R,OTHER_AM_CONTEXT 3.00R
2026-03,10.0,10.0,60.0,1.4,4.5,-2.0,2.0,14.0,1.0,NQ BUY 6.00R,CONTINUATION SELL 8.00R,09:45-10:15_PRIMARY 6.00R
2026-04,15.0,15.0,53.333333333333336,0.9833333333333333,3.107142857142857,-2.0,3.0,14.75,1.0,YM BUY 11.00R,REVERSAL BUY 5.75R,10:15-11:00_RECHECK 11.00R
2026-05,12.0,12.0,75.0,1.25,6.0,-2.0,2.0,15.0,1.0,NQ BUY 4.25R,REVERSAL BUY 7.25R,10:15-11:00_RECHECK 11.00R
2026-06,3.0,3.0,33.33333333333333,-0.4166666666666667,0.375,-2.0,2.0,-1.25,1.0,YM BUY -0.25R,REVERSAL BUY -1.25R,09:45-10:15_PRIMARY 0.75R
